Nation,Year,Month,Mean,Stddev,Min,Max
Israel,2013,10,76.61387,19.63956,11.0,100.0
Israel,2017,8,64.55962,20.94207,10.0,100.0
United States,2015,3,71.71259,21.36368,13.0,100.0
Israel,2012,10,57.63388,16.48145,12.0,100.0
United States,2017,9,65.31972,23.17153,5.0,100.0
United States,2016,7,63.89407,22.69084,5.0,100.0
Israel,2013,12,75.72424,23.29464,6.0,100.0
Israel,2014,9,66.63079,22.64788,12.0,100.0
United States,2013,5,64.36387,23.86638,5.0,100.0
United States,2014,2,63.32311,21.71215,5.0,100.0
Israel,2017,4,62.35,25.02529,5.0,100.0
United States,2013,4,60.87035,24.0225,5.0,100.0
Israel,2016,10,83.21969,18.128,14.0,100.0
Israel,2015,8,65.96013,25.67492,9.0,100.0
Israel,2014,11,75.83727,24.32567,8.0,100.0
Israel,2014,12,80.52845,19.7907,18.0,100.0
United States,2017,5,63.967,23.83463,5.0,100.0
United States,2016,4,59.65483,23.7166,5.0,100.0
United States,2015,7,65.23041,20.91671,5.0,100.0
United States,2014,7,64.76747,20.52943,5.0,100.0
Israel,2013,8,71.56183,25.00362,9.0,100.0
United States,2012,11,61.72328,21.52836,5.0,100.0
Israel,2016,8,73.66958,22.01387,10.0,100.0
Israel,2016,6,65.06644,27.57196,7.0,100.0
Israel,2015,11,69.22593,24.41999,16.0,100.0
Israel,2014,1,77.94706,18.54581,13.0,100.0
United States,2014,11,72.29518,20.85122,10.0,100.0
United States,2013,9,71.2659,20.93674,6.0,100.0
United States,2013,2,63.18334,22.39783,5.0,100.0
Israel,2017,6,64.01319,23.1059,8.0,100.0
United States,2015,6,68.89528,21.26351,5.0,100.0
United States,2013,10,72.41896,21.55699,5.0,100.0
United States,2016,3,62.84946,24.42802,5.0,100.0
United States,2017,11,66.26633,23.4213,6.0,100.0
United States,2013,3,59.47087,23.01521,5.0,100.0
United States,2015,2,73.83956,18.32252,15.0,100.0
United States,2017,3,61.15165,24.4126,5.0,100.0
United States,2013,6,66.91572,24.20478,5.0,100.0
United States,2016,1,69.67613,20.07326,9.0,100.0
United States,2013,8,68.70739,21.41763,5.0,100.0
Israel,2017,3,68.60274,22.04752,6.0,100.0
United States,2016,5,62.55502,22.95567,5.0,100.0
United States,2014,3,58.76583,23.23347,5.0,100.0
United States,2014,9,75.1269,18.30415,8.0,100.0
United States,2015,4,66.39038,22.72559,9.0,100.0
United States,2014,12,81.72342,15.7039,21.0,100.0
Israel,2014,5,67.90838,22.64367,7.0,100.0
Israel,2016,3,66.94011,24.13406,9.0,100.0
Israel,2015,10,70.92148,22.581,12.0,100.0
Israel,2016,2,72.69636,23.91051,12.0,100.0
Israel,2015,7,66.00784,26.66701,7.0,100.0
United States,2017,8,67.52315,22.01514,5.0,100.0
Israel,2017,2,74.37922,24.76397,8.0,100.0
Israel,2016,9,70.33495,23.19771,11.0,100.0
United States,2017,1,72.67314,20.53573,7.0,100.0
United States,2015,12,73.15249,21.1393,5.0,100.0
Israel,2013,1,63.20936,19.14659,7.0,100.0
Israel,2012,12,62.64842,15.11678,13.0,99.0
Israel,2013,9,72.66188,21.49657,5.0,100.0
United States,2014,6,68.13616,23.52653,5.0,100.0
Israel,2015,9,63.95903,25.09373,10.0,100.0
Israel,2014,4,74.60991,21.05657,15.0,100.0
Israel,2013,3,54.84548,21.37259,6.0,100.0
Israel,2015,3,81.97174,18.88035,11.0,100.0
Israel,2016,11,57.88031,29.37429,5.0,100.0
United States,2016,8,68.23992,21.17933,5.0,100.0
Israel,2012,11,59.05574,16.29092,11.0,100.0
United States,2015,10,67.63273,21.55652,8.0,100.0
United States,2015,5,69.56023,19.93564,10.0,100.0
United States,2015,9,66.01157,21.89917,7.0,100.0
Israel,2017,5,60.19668,24.7014,7.0,100.0
United States,2015,1,76.7381,18.28432,18.0,100.0
Israel,2015,2,87.43849,15.27625,26.0,100.0
United States,2014,4,57.32209,24.36846,5.0,100.0
Israel,2014,3,81.30655,17.96173,18.0,100.0
United States,2016,9,67.13544,22.59417,5.0,100.0
United States,2016,10,72.16661,22.25509,6.0,100.0
United States,2017,6,63.72802,24.66665,5.0,100.0
Israel,2015,12,71.2724,24.25307,10.0,100.0
United States,2015,11,67.89303,22.67766,6.0,100.0
United States,2016,6,61.70645,23.22497,5.0,100.0
Israel,2014,6,63.60301,22.80662,6.0,100.0
United States,2015,8,63.624,21.46202,5.0,100.0
Israel,2017,7,64.15457,21.90064,7.0,100.0
Israel,2014,8,66.15614,23.68056,11.0,100.0
Israel,2015,4,82.38449,17.64613,25.0,100.0
United States,2014,8,71.25493,19.29686,6.0,100.0
Israel,2014,2,81.26696,20.1061,10.0,100.0
United States,2014,5,62.5669,23.61297,5.0,100.0
Israel,2013,11,81.03866,21.12406,17.0,100.0
Israel,2016,7,68.77795,25.10116,9.0,100.0
United States,2014,1,62.13089,21.427,5.0,100.0
United States,2017,7,66.14386,21.89432,5.0,100.0
United States,2013,12,68.47199,19.9306,7.0,100.0
