Nation,Year,Month,Mean,Stddev,Min,Max
Israel,2013,10,1011.55911,16.35717,941.0,1033.0
Israel,2017,8,1003.35484,12.60621,962.0,1023.0
United States,2015,3,1032.64684,6.40452,968.0,1054.0
Israel,2012,10,1002.97829,13.34224,959.0,1020.0
United States,2017,9,1015.86631,5.0329,986.0,1034.0
United States,2016,7,1009.45619,26.88183,814.0,1035.0
Israel,2013,12,1011.70784,15.0176,951.0,1037.0
Israel,2014,9,1007.13588,14.65226,953.0,1029.0
United States,2013,5,1016.05802,6.14446,827.0,1048.0
United States,2014,2,1017.46376,6.77131,979.0,1039.0
Israel,2017,4,1010.38356,13.33887,965.0,1033.0
United States,2013,4,1016.76049,6.88943,851.0,1049.0
Israel,2016,10,1003.18837,19.92115,965.0,1030.0
Israel,2015,8,1005.04996,11.87079,951.0,1024.0
Israel,2014,11,1013.6669,14.9153,958.0,1038.0
Israel,2014,12,1014.90076,16.26257,956.0,1040.0
United States,2017,5,1013.39232,5.33677,994.0,1029.0
United States,2016,4,1016.09383,10.0554,844.0,1038.0
United States,2015,7,1015.12619,4.0248,999.0,1029.0
United States,2014,7,1017.63257,10.38648,833.0,1077.0
Israel,2013,8,999.83289,14.15394,936.0,1023.0
United States,2012,11,1016.88033,19.22923,802.0,1046.0
Israel,2016,8,1001.82997,17.09621,960.0,1025.0
Israel,2016,6,1002.09306,16.6544,961.0,1028.0
Israel,2015,11,1012.46088,13.39091,954.0,1032.0
Israel,2014,1,1011.917,17.40398,951.0,1038.0
United States,2014,11,1031.83705,7.88747,999.0,1057.0
United States,2013,9,1012.21486,24.00646,821.0,1059.0
United States,2013,2,1012.96212,25.05824,800.0,1046.0
Israel,2017,6,1005.86736,12.82159,964.0,1028.0
United States,2015,6,1021.57798,17.1455,810.0,1040.0
United States,2013,10,1018.39711,19.86096,824.0,1059.0
United States,2016,3,1016.16389,6.53221,988.0,1035.0
United States,2017,11,1018.28159,6.57837,920.0,1038.0
United States,2013,3,1017.97772,7.15251,995.0,1051.0
United States,2015,2,1033.12263,8.39294,993.0,1059.0
United States,2017,3,1019.56196,7.45597,836.0,1040.0
United States,2013,6,1013.22681,9.62803,821.0,1044.0
United States,2016,1,1018.27907,7.68044,943.0,1043.0
United States,2013,8,1012.4778,20.64997,830.0,1043.0
Israel,2017,3,1009.42059,13.6304,964.0,1031.0
United States,2016,5,1015.3974,4.52554,999.0,1028.0
United States,2014,3,1017.02766,6.94812,982.0,1045.0
United States,2014,9,1028.15751,5.58715,1003.0,1050.0
United States,2015,4,1027.47263,6.60084,1001.0,1046.0
United States,2014,12,1033.36181,7.99769,997.0,1061.0
Israel,2014,5,1010.14315,14.35622,953.0,1029.0
