Nation,Year,Month,Mean,Stddev,Min,Max
Israel,2013,10,293.0736,5.51023,280.368,310.15
Israel,2017,8,302.04565,4.53289,286.331,315.66
United States,2015,3,282.13249,9.1002,246.615,304.484333333
Israel,2012,10,298.90084,3.95497,289.15,314.82
United States,2017,9,294.9168,6.21886,279.15,314.95
United States,2016,7,298.86214,6.05058,282.144,317.95
Israel,2013,12,286.414,4.81558,272.59,303.51
Israel,2014,9,298.83794,5.22993,285.191,315.18
United States,2013,5,291.76676,6.78777,267.79,311.41
United States,2014,2,277.72672,10.59879,247.13,302.91
Israel,2017,4,293.13224,5.21701,278.785,313.15
United States,2013,4,286.79122,7.69227,259.27,310.92
Israel,2016,10,296.11583,4.93486,283.635,316.48
Israel,2015,8,303.60427,4.96391,288.787,319.15
Israel,2014,11,289.99853,4.8729,275.299,304.15
Israel,2014,12,287.73369,4.73974,274.423,305.15
United States,2017,5,291.79473,6.83384,273.14,314.02
United States,2016,4,287.8571,7.44035,264.62,310.23
United States,2015,7,298.02049,5.53866,283.72,315.08
United States,2014,7,297.43553,5.68347,282.578333333,317.65
Israel,2013,8,299.63898,5.10703,286.209,315.15
United States,2012,11,283.38104,7.2739,259.78,306.01
Israel,2016,8,302.24667,4.09529,288.325,315.77
Israel,2016,6,301.5135,5.2182,284.048,318.66
Israel,2015,11,293.12394,4.04782,280.931,305.15
Israel,2014,1,286.25576,4.10137,277.352333333,301.15
United States,2014,11,280.16339,8.42123,247.727666667,302.692
United States,2013,9,294.30167,6.47193,271.912,315.95
United States,2013,2,278.7198,8.57132,244.82,301.86
Israel,2017,6,299.53902,4.99643,284.423,317.66
United States,2015,6,295.83274,6.13478,279.216,316.34
United States,2013,10,288.19066,7.30336,263.745,313.75
United States,2016,3,285.31709,7.53922,262.24,305.43
United States,2017,11,283.90836,7.71362,260.95,306.47
United States,2013,3,281.40346,8.21425,257.0,307.34
United States,2015,2,275.24792,10.82039,243.483333333,303.181
United States,2017,3,284.14494,8.81271,257.15,307.29
United States,2013,6,296.17536,6.33657,278.22,319.83
United States,2016,1,277.40312,8.38382,246.143557431,301.53
United States,2013,8,296.92644,5.80576,281.15,317.55
Israel,2017,3,289.76975,4.1266,278.044,305.12
United States,2016,5,291.44908,6.55659,270.25,311.69
United States,2014,3,281.71716,9.12626,246.52,306.37
United States,2014,9,293.52428,5.99478,271.170333333,311.889
United States,2015,4,286.96494,6.96359,265.087333333,306.831666667
United States,2014,12,278.60423,7.76433,246.344333333,302.647
Israel,2014,5,295.22872,4.95363,281.627,312.15
Israel,2016,3,291.07926,4.50052,278.266,307.15
Israel,2015,10,298.78262,5.10885,283.658,313.81
Israel,2016,2,288.86025,5.25146,274.96,305.15
Israel,2015,7,301.54711,5.30702,283.848,317.15
United States,2017,8,297.02815,5.65369,283.04,315.7
Israel,2017,2,285.88294,5.10614,271.049,303.15
Israel,2016,9,301.04362,4.64654,284.667,314.15
United States,2017,1,279.27059,8.86057,248.66,302.26
United States,2015,12,281.90546,7.76997,256.130423071,305.15
Israel,2013,1,286.93016,3.90503,271.15,303.15
Israel,2012,12,289.49579,3.60571,277.98,309.26
Israel,2013,9,297.90588,4.71482,284.629,313.15
United States,2014,6,295.85444,5.95959,277.4,315.41
Israel,2015,9,302.71136,4.78385,288.564,320.93
Israel,2014,4,292.52623,4.04044,281.335,307.15
Israel,2013,3,290.25099,5.19113,276.48,308.03
Israel,2015,3,289.07077,4.73406,275.172,309.68
Israel,2016,11,293.02557,4.61522,275.68,305.42
United States,2016,8,297.93132,5.64313,281.41,316.83
Israel,2012,11,294.28374,4.09887,283.15,312.59
United States,2015,10,289.64331,6.84274,269.246,313.16
United States,2015,5,291.34719,6.32645,266.321333333,310.606333333
United States,2015,9,295.52853,6.11227,276.57,313.07
Israel,2017,5,296.66946,5.21758,280.891,314.17
United States,2015,1,275.72449,9.05142,242.336666667,301.678333333
Israel,2015,2,284.95229,4.24173,273.798,298.21
United States,2014,4,287.55213,7.41995,265.19,308.83
Israel,2014,3,289.68075,3.74997,278.04,304.15
United States,2016,9,295.02147,6.09957,274.13,312.81
United States,2016,10,289.58926,6.94336,266.505,308.39
United States,2017,6,296.48859,6.21663,279.15,321.15
Israel,2015,12,287.73223,4.65094,273.203,303.7
United States,2015,11,284.45387,7.57343,259.53,304.47
United States,2016,6,296.98191,6.46362,278.99,321.22
Israel,2014,6,298.0545,5.61205,285.116,319.48
United States,2015,8,297.64677,5.8402,281.42,318.11
Israel,2017,7,302.66807,4.65461,286.876,320.15
Israel,2014,8,300.69299,5.48182,286.991,317.15
Israel,2015,4,290.01864,4.46479,276.984,307.246
United States,2014,8,296.58773,5.31199,279.064,316.32
Israel,2014,2,286.6579,4.7183,274.754820495,304.69
United States,2014,5,292.25,6.82011,265.884,314.1
Israel,2013,11,290.02591,5.52145,280.368,305.67
Israel,2016,7,301.62819,4.92355,288.111,315.15
United States,2014,1,277.56399,10.7281,246.1075,308.15
United States,2017,7,298.44281,5.61205,282.36,319.16
United States,2013,12,278.34884,9.50634,245.982,307.15
United States,2013,7,297.50558,5.78386,281.01,318.15
Israel,2014,10,294.89588,5.42383,279.633,312.15
United States,2017,10,290.08494,7.51385,265.97,312.52
Israel,2013,4,292.12257,5.53696,279.82,311.03
Israel,2013,2,288.37897,3.90733,278.15,307.04
United States,2017,2,282.14489,8.42683,255.09,305.54
Israel,2015,6,297.23491,5.04781,283.171,315.13
United States,2012,12,280.61083,7.84973,253.87,302.04
Israel,2017,1,285.67677,4.0804,272.869,296.66
Israel,2016,1,286.03069,4.53925,271.15,299.29
Israel,2015,1,283.77557,4.34778,268.682,296.19
Israel,2013,6,298.32668,5.18969,285.151,318.91
Israel,2017,10,296.88242,4.4994,282.505,313.15
United States,2014,10,288.58266,6.62717,266.155333333,307.412333333
Israel,2016,5,298.24358,5.77461,281.907,317.12
United States,2016,2,280.76783,9.01976,249.54,304.68
United States,2016,12,278.91203,8.93911,243.39,303.4
United States,2017,4,289.116,6.91003,268.85,309.43
Israel,2015,5,294.27165,5.09714,280.509,310.179
United States,2012,10,288.95125,7.01141,268.87,312.01
Israel,2013,7,299.17012,4.53046,287.093,314.15
United States,2016,11,285.39904,7.23719,264.56,307.96
United States,2013,11,282.75041,8.06065,256.35,306.15
United States,2013,1,278.15534,9.03759,246.47,300.6
Israel,2013,5,296.71499,5.02503,283.71,316.91
Israel,2016,12,286.53731,3.89423,274.587,297.78
Israel,2017,9,300.45065,4.31389,286.273,315.15
Israel,2014,7,299.79163,5.03379,287.569,317.15
Israel,2016,4,295.30182,5.71341,279.987,312.15
